Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1940,5,,,,173.997,,,,,,,,,,,,0
1940,6,,,,174.085,,,,,,,,,,,,0
1940,7,,,,174.143,,,,,,,,,,,,0
1940,8,,,,174.131,,,,,,,,,,,,0
1940,9,,,,174.033,,,,,,,,,,,,0
1940,10,,,,173.982,,,,,,,,,,,,0
1940,11,,,,173.762,,,,,,,,,,,,0
1940,12,,,,173.811,,,,,,,,,,,,0
1941,1,,,,173.896,,,,,,,,,,,,0
1941,2,,,,173.738,,,,,,,,,,,,0
1941,3,,,,173.698,,,,,,,,,,,,0
1941,4,,,,173.832,,,,,,,,,,,,0
1941,5,,,,173.878,,,,,,,,,,,,0
1941,6,,,,173.960,,,,,,,,,,,,0
1941,7,,,,173.936,,,,,,,,,,,,0
1941,8,,,,173.887,,,,,,,,,,,,0
1941,9,,,,173.805,,,,,,,,,,,,0
1941,10,,,,173.692,,,,,,,,,,,,0
1941,11,,,,173.567,,,,,,,,,,,,0
1941,12,,,,173.582,,,,,,,,,,,,0
1942,1,,,,173.573,,,,,,,,,,,,0
1942,2,,,,173.582,,,,,,,,,,,,0
1942,3,,,,173.659,,,,,,,,,,,,0
1942,4,,,,173.982,,,,,,,,,,,,0
1942,5,,,,174.091,,,,,,,,,,,,0
1942,6,,,,174.207,,,,,,,,,,,,0
1942,7,,,,174.210,,,,,,,,,,,,0
1942,8,,,,174.195,,,,,,,,,,,,0
1942,9,,,,174.067,,,,,,,,,,,,0
1942,10,,,,174.049,,,,,,,,,,,,0
1942,11,,,,173.948,,,,,,,,,,,,0
1942,12,,,,173.896,,,,,,,,,,,,0
1943,1,,,,174.040,,,,,,,,,,,,0
1943,2,,,,173.902,,,,,,,,,,,,0
1943,3,,,,174.021,,,,,,,,,,,,0
1943,4,,,,174.165,,,,,,,,,,,,0
1943,5,,,,174.463,,,,,,,,,,,,0
1943,6,,,,174.643,,,,,,,,,,,,0
1943,7,,,,174.674,,,,,,,,,,,,0
1943,8,,,,174.594,,,,,,,,,,,,0
1943,9,,,,174.469,,,,,,,,,,,,0
1943,10,,,,174.378,,,,,,,,,,,,0
1943,11,,,,174.216,,,,,,,,,,,,0
1943,12,,,,174.091,,,,,,,,,,,,0
1944,1,,,,173.972,,,,,,,,,,,,0
1944,2,,,,173.939,,,,,,,,,,,,0
1944,3,,,,173.991,,,,,,,,,,,,0
1944,4,,,,174.256,,,,,,,,,,,,0
1944,5,,,,174.427,,,,,,,,,,,,0
1944,6,,,,174.457,,,,,,,,,,,,0
1944,7,,,,174.417,,,,,,,,,,,,0
1944,8,,,,174.344,,,,,,,,,,,,0
1944,9,,,,174.241,,,,,,,,,,,,0
1944,10,,,,174.137,,,,,,,,,,,,0
1944,11,,,,174.024,,,,,,,,,,,,0
1944,12,,,,173.930,,,,,,,,,,,,0
1945,1,,,,173.939,,,,,,,,,,,,0
1945,2,,,,173.851,,,,,,,,,,,,0
1945,3,,,,174.043,,,,,,,,,,,,0
1945,4,,,,174.238,,,,,,,,,,,,0
1945,5,,,,174.369,,,,,,,,,,,,0
1945,6,,,,174.536,,,,,,,,,,,,0
1945,7,,,,174.555,,,,,,,,,,,,0
1945,8,,,,174.500,,,,,,,,,,,,0
1945,9,,,,174.433,,,,,,,,,,,,0
1945,10,,,,174.396,,,,,,,,,,,,0
1945,11,,,,174.286,,,,,,,,,,,,0
1945,12,,,,174.229,,,,,,,,,,,,0
1946,1,,,,174.189,,,,,,,,,,,,0
1946,2,,,,174.036,,,,,,,,,,,,0
1946,3,,,,174.201,,,,,,,,,,,,0
1946,4,,,,174.244,,,,,,,,,,,,0
1946,5,,,,174.311,,,,,,,,,,,,0
1946,6,,,,174.475,,,,,,,,,,,,0
1946,7,,,,174.509,,,,,,,,,,,,0
1946,8,,,,174.387,,,,,,,,,,,,0
1946,9,,,,174.274,,,,,,,,,,,,0
1946,10,,,,174.152,,,,,,,,,,,,0
1946,11,,,,174.012,,,,,,,,,,,,0
1946,12,,,,173.869,,,,,,,,,,,,0
1947,1,,,,173.860,,,,,,,,,,,,0
1947,2,,,,173.851,,,,,,,,,,,,0
1947,3,,,,173.820,,,,,,,,,,,,0
1947,4,,,,174.277,,,,,,,,,,,,0
1947,5,,,,174.530,,,,,,,,,,,,0
1947,6,,,,174.716,,,,,,,,,,,,0
1947,7,,,,174.634,,,,,,,,,,,,0
1947,8,,,,174.600,,,,,,,,,,,,0
1947,9,,,,174.527,,,,,,,,,,,,0
1947,10,,,,174.396,,,,,,,,,,,,0
1947,11,,,,174.213,,,,,,,,,,,,0
1947,12,,,,174.128,,,,,,,,,,,,0
1948,1,,,,174.155,,,,,,,,,,,,0
1948,2,,,,174.094,,,,,,,,,,,,0
1948,3,,,,174.213,,,,,,,,,,,,0
1948,4,,,,174.454,,,,,,,,,,,,0
1948,5,,,,174.552,,,,,,,,,,,,0
1948,6,,,,174.585,,,,,,,,,,,,0
1948,7,,,,174.561,,,,,,,,,,,,0
1948,8,,,,174.451,,,,,,,,,,,,0
1948,9,,,,174.350,,,,,,,,,,,,0
1948,10,,,,174.152,,,,,,,,,,,,0
1948,11,,,,174.046,,,,,,,,,,,,0
1948,12,,,,173.957,,,,,,,,,,,,0
1949,1,,,,173.976,,,,,,,,,,,,0
1949,2,,,,174.055,,,,,,,,,,,,0
1949,3,,,,174.104,,,,,,,,,,,,0
1949,4,,,,174.168,,,,,,,,,,,,0
1949,5,,,,174.225,,,,,,,,,,,,0
1949,6,,,,174.250,,,,,,,,,,,,0
1949,7,,,,174.232,,,,,,,,,,,,0
1949,8,,,,174.146,,,,,,,,,,,,0
1949,9,,,,173.982,,,,,,,,,,,,0
1949,10,,,,173.930,,,,,,,,,,,,0
1949,11,,,,173.732,,,,,,,,,,,,0
1949,12,,,,173.729,,,,,,,,,,,,0
1950,1,174.616,,,173.921,,,,,,,,,,,172.747,0
1950,2,174.713,,,174.104,,,,,,,,,,,173.457,0
1950,3,174.570,,,174.116,,,,,,,,,,,173.223,0
1950,4,174.780,,,174.360,,,,,,,,,,,173.652,0
1950,5,174.722,,,174.430,,,,,,,,,,,174.244,0
1950,6,174.555,,,174.360,,,,,,,,,,,174.055,0
1950,7,174.927,,,174.329,,,,,,,,,,,173.924,0
1950,8,174.521,,,174.232,,,,,,,,,,,173.924,0
1950,9,174.536,,,174.207,,,,,,,,,,,173.756,0
