#NBlocks=400,NWalkers=1000,NSteps=1000
0,363.714,363.714
1,371.507,367.615
2,369.897,368.382
3,379.447,371.089
4,388.966,374.506
5,388.967,376.827
6,388.968,378.506
7,388.966,379.776
8,388.968,380.772
9,388.969,381.573
10,388.967,382.232
11,388.968,382.782
12,388.966,383.25
13,388.964,383.651
14,388.965,384
15,388.966,384.306
16,388.966,384.577
17,388.967,384.818
18,388.968,385.033
19,388.967,385.228
20,388.965,385.404
21,388.966,385.564
22,388.968,385.711
23,388.965,385.845
24,388.966,385.969
25,388.967,386.083
26,388.968,386.189
27,388.968,386.288
28,388.965,386.379
29,388.965,386.465
30,388.967,386.545
31,388.967,386.62
32,388.965,386.691
33,388.964,386.757
34,388.969,386.82
35,388.966,386.879
36,388.968,386.935
37,388.968,386.988
38,388.968,387.039
39,388.966,387.087
40,388.967,387.132
41,388.963,387.176
42,388.966,387.217
43,388.965,387.257
44,388.967,387.295
45,388.967,387.331
46,388.966,387.365
47,388.968,387.399
48,388.967,387.431
49,388.965,387.461
50,388.966,387.491
51,388.966,387.519
52,388.962,387.546
53,388.969,387.572
54,388.966,387.597
55,388.966,387.622
56,388.968,387.645
57,388.966,387.668
58,388.969,387.69
59,388.967,387.711
60,388.965,387.732
61,388.968,387.752
62,388.968,387.771
63,388.966,387.789
64,388.967,387.808
65,388.968,387.825
66,388.967,387.842
67,388.966,387.859
68,388.965,387.875
69,388.967,387.89
70,388.966,387.905
71,388.967,387.92
72,388.965,387.934
73,388.967,387.948
74,388.965,387.962
75,388.966,387.975
76,388.965,387.988
77,388.964,388
78,388.966,388.012
79,388.968,388.024
80,388.965,388.036
81,388.967,388.047
82,388.968,388.058
83,388.967,388.069
84,388.967,388.08
85,388.968,388.09
86,388.967,388.1
87,388.967,388.11
88,388.968,388.119
89,388.969,388.129
90,388.968,388.138
91,388.969,388.147
92,388.966,388.156
93,388.968,388.165
94,388.966,388.173
95,388.967,388.181
96,388.966,388.189
97,388.965,388.197
98,388.968,388.205
99,388.968,388.213
100,388.967,388.22
101,388.967,388.227
102,388.966,388.235
103,388.969,388.242
104,388.965,388.248
105,388.967,388.255
106,388.966,388.262
107,388.968,388.268
108,388.966,388.275
109,388.966,388.281
110,388.968,388.287
111,388.965,388.293
112,388.966,388.299
113,388.969,388.305
114,388.966,388.311
115,388.967,388.317
116,388.966,388.322
117,388.966,388.328
118,388.965,388.333
119,388.965,388.338
120,388.966,388.343
121,388.967,388.348
122,388.967,388.353
123,388.966,388.358
124,388.968,388.363
125,388.967,388.368
126,388.968,388.373
127,388.967,388.377
128,388.967,388.382
129,388.968,388.386
130,388.962,388.391
131,388.969,388.395
132,388.965,388.4
133,388.965,388.404
134,388.966,388.408
135,388.969,388.412
136,388.965,388.416
137,388.968,388.42
138,388.968,388.424
139,388.969,388.428
140,388.966,388.432
141,388.966,388.435
142,388.967,388.439
143,388.962,388.443
144,388.964,388.446
145,388.967,388.45
146,388.967,388.454
147,388.967,388.457
148,388.968,388.46
149,388.965,388.464
150,388.965,388.467
151,388.966,388.47
152,388.963,388.474
153,388.968,388.477
154,388.967,388.48
155,388.965,388.483
156,388.966,388.486
157,388.965,388.489
158,388.967,388.492
159,388.965,388.495
160,388.967,388.498
161,388.968,388.501
162,388.967,388.504
163,388.965,388.507
164,388.967,388.509
165,388.965,388.512
166,388.963,388.515
167,388.967,388.518
168,388.965,388.52
169,388.966,388.523
170,388.966,388.525
171,388.969,388.528
172,388.966,388.531
173,388.966,388.533
174,388.967,388.536
175,388.966,388.538
176,388.967,388.54
177,388.964,388.543
178,388.966,388.545
179,388.965,388.548
180,388.969,388.55
181,388.967,388.552
182,388.967,388.554
183,388.966,388.557
184,388.966,388.559
185,388.966,388.561
186,388.965,388.563
187,388.967,388.565
188,388.964,388.567
189,388.965,388.57
190,388.965,388.572
191,388.968,388.574
192,388.967,388.576
193,388.967,388.578
194,388.964,388.58
195,388.963,388.582
196,388.967,388.584
197,388.967,388.586
198,388.965,388.588
199,388.964,388.589
200,388.966,388.591
201,388.967,388.593
202,388.968,388.595
203,388.967,388.597
204,388.969,388.599
205,388.966,388.6
206,388.966,388.602
207,388.969,388.604
208,388.968,388.606
209,388.964,388.607
210,388.967,388.609
211,388.968,388.611
212,388.968,388.612
213,388.966,388.614
214,388.964,388.616
215,388.966,388.617
216,388.965,388.619
217,388.968,388.621
218,388.967,388.622
219,388.967,388.624
220,388.965,388.625
221,388.968,388.627
222,388.967,388.628
223,388.967,388.63
224,388.968,388.631
225,388.969,388.633
226,388.967,388.634
227,388.965,388.636
228,388.965,388.637
229,388.964,388.639
230,388.966,388.64
231,388.966,388.642
232,388.966,388.643
233,388.968,388.644
234,388.967,388.646
235,388.968,388.647
236,388.968,388.648
237,388.968,388.65
238,388.966,388.651
239,388.966,388.652
240,388.968,388.654
241,388.968,388.655
242,388.965,388.656
243,388.967,388.658
244,388.969,388.659
245,388.966,388.66
246,388.966,388.661
247,388.967,388.663
248,388.967,388.664
249,388.965,388.665
250,388.967,388.666
251,388.966,388.667
252,388.968,388.669
253,388.966,388.67
254,388.966,388.671
255,388.966,388.672
256,388.965,388.673
257,388.963,388.674
258,388.966,388.675
259,388.961,388.677
260,388.967,388.678
261,388.965,388.679
262,388.968,388.68
263,388.967,388.681
264,388.967,388.682
265,388.968,388.683
266,388.968,388.684
267,388.965,388.685
268,388.968,388.686
269,388.966,388.687
270,388.967,388.688
271,388.963,388.689
272,388.967,388.69
273,388.964,388.691
274,388.966,388.692
275,388.965,388.693
276,388.967,388.694
277,388.967,388.695
278,388.967,388.696
279,388.966,388.697
280,388.967,388.698
281,388.966,388.699
282,388.965,388.7
283,388.969,388.701
284,388.965,388.702
285,388.968,388.703
286,388.969,388.704
287,388.968,388.705
288,388.967,388.706
289,388.969,388.707
290,388.965,388.708
291,388.969,388.708
292,388.965,388.709
293,388.966,388.71
294,388.967,388.711
295,388.965,388.712
296,388.966,388.713
297,388.967,388.714
298,388.967,388.714
299,388.967,388.715
300,388.966,388.716
301,388.967,388.717
302,388.968,388.718
303,388.964,388.719
304,388.967,388.719
305,388.967,388.72
306,388.968,388.721
307,388.967,388.722
308,388.966,388.723
309,388.967,388.723
310,388.966,388.724
311,388.965,388.725
312,388.967,388.726
313,388.967,388.727
314,388.967,388.727
315,388.967,388.728
316,388.964,388.729
317,388.965,388.73
318,388.964,388.73
319,388.965,388.731
320,388.967,388.732
321,388.966,388.733
322,388.967,388.733
323,388.966,388.734
324,388.964,388.735
325,388.968,388.735
326,388.966,388.736
327,388.966,388.737
328,388.968,388.738
329,388.967,388.738
330,388.966,388.739
331,388.968,388.74
332,388.969,388.74
333,388.966,388.741
334,388.966,388.742
335,388.966,388.742
336,388.966,388.743
337,388.966,388.744
338,388.966,388.744
339,388.967,388.745
340,388.966,388.746
341,388.968,388.746
342,388.967,388.747
343,388.967,388.748
344,388.967,388.748
345,388.966,388.749
346,388.969,388.749
347,388.966,388.75
348,388.968,388.751
349,388.968,388.751
350,388.967,388.752
351,388.967,388.753
352,388.966,388.753
353,388.969,388.754
354,388.969,388.754
355,388.965,388.755
356,388.964,388.756
357,388.967,388.756
358,388.968,388.757
359,388.969,388.757
360,388.968,388.758
361,388.968,388.759
362,388.967,388.759
363,388.966,388.76
364,388.968,388.76
365,388.967,388.761
366,388.969,388.761
367,388.967,388.762
368,388.968,388.762
369,388.965,388.763
370,388.965,388.764
371,388.968,388.764
372,388.966,388.765
373,388.969,388.765
374,388.966,388.766
375,388.967,388.766
376,388.967,388.767
377,388.966,388.767
378,388.967,388.768
379,388.966,388.768
380,388.967,388.769
381,388.965,388.769
382,388.966,388.77
383,388.962,388.77
384,388.966,388.771
385,388.968,388.771
386,388.966,388.772
387,388.968,388.772
388,388.967,388.773
389,388.967,388.773
390,388.965,388.774
391,388.968,388.774
392,388.968,388.775
393,388.969,388.775
394,388.968,388.776
395,388.967,388.776
396,388.967,388.777
397,388.967,388.777
398,388.967,388.778
399,388.967,388.778
